,sentence,rankt,ranko
169,じゃあね,169,346
170,そうですか,170,218
171,なに,171,10000
172,どうかな,172,396
173,アア,173,10000
174,おっと,174,10000
175,何か？,175,1164
176,ちくしょう,176,10000
177,どういうことだ？,177,10000
178,教えてくれ,178,10000
179,そうなの,179,10000
180,大丈夫です,180,577
181,待てよ,181,1180
182,彼は,182,10000
183,君は？,183,296
184,違うよ,184,1027
185,どうしたの,185,450
186,すごい,186,10000
187,知ってる,187,619
188,ごめんね,188,98
189,あー,189,10000
190,だから？,190,10000
191,でも,191,23
192,これは何だ？,192,869
193,やれ,193,10000
194,あなた,194,140
195,失礼します,195,264
196,ダメ！,196,10000
197,もう一度,197,333
198,ピーター,198,10000
199,入って,199,10000
200,心配するな,200,744
201,それは,201,81
202,それから,202,10000
203,どこに行くの？,203,10000
204,無理だ,204,10000
205,止まれ,205,10000
206,こんばんは,206,361
207,君は,207,10000
208,マジで？,208,662
209,それでいい,209,10000
210,これだ,210,10000
211,なんだ,211,10000
212,行くわよ,212,948
213,そうなのか？,213,10000
214,サム,214,10000
215,どうかした？,215,10000
216,みんな,216,164
217,やった,217,10000
218,なんてことだ,218,10000
219,サラ,219,10000
220,続けて,220,627
221,オーケイ,221,10000
222,気をつけろ,222,10000
223,何でもない,223,10000
224,もちろんです,224,10000
225,私は,225,194
226,分かったか？,226,10000
227,誰に？,227,10000
228,行かないと,228,10000
229,ジェーン,229,10000
230,ホントに？,230,10000
231,ニック,231,10000
232,下がれ！,232,10000
233,ようこそ,233,10000
234,そうだ。,234,10000
235,まあね,235,10000
236,おいおい,236,255
237,ちょっと失礼,237,1037
238,大丈夫かい？,238,10000
239,助けてくれ,239,10000
240,何だって,240,10000
241,何なんだ？,241,10000
242,それだけ？,242,10000
243,おはようございます,243,174
244,分かった。,244,10000
245,マジかよ,245,1231
246,分かった？,246,10000
247,さぁ,247,838
248,見ろ,248,976
249,大丈夫なの？,249,696
250,大丈夫。,250,10000
251,えっ,251,66
252,気にしないで,252,996
253,いいわね,253,848
254,ちくしょう！,254,10000
255,座れ,255,10000
256,もちろんよ,256,786
257,多分,257,10000
258,こっちへ,258,10000
259,分からん,259,1145
260,何か,260,10000
261,そうだ,261,6
262,撃て,262,10000
263,どうなってる？,263,10000
264,それに,264,10000
265,愛してるわ,265,10000
266,何,266,224
267,わからないわ,267,10000
268,幸運を,268,10000
269,心配しないで,269,747
270,わかりません,270,669
271,どうするの？,271,10000
272,母さん,272,10000
273,キャリー,273,10000
274,心配ない,274,10000
275,もう,275,331
276,そうか,276,97
277,ねぇ,277,235
278,ありません,278,854
279,何のために？,279,10000
280,何です？,280,10000
281,そうかい,281,10000
282,どうやって,282,10000
283,本気か？,283,374
284,分かりません,284,647
285,１,285,991
286,あ,286,5
287,フランク,287,10000
288,それは何だ？,288,10000
289,そのとおり,289,10000
290,またね,290,583
291,何者だ？,291,777
292,３,292,10000
293,ごめんよ,293,1116
294,だが,294,469
295,かしこまりました,295,10000
296,何を,296,10000
297,さよなら,297,10000
298,船長,298,10000
299,何てこと,299,10000
300,ちがう,300,789
301,こっちよ,301,10000
302,まさか！,302,651
303,こちらへ,303,10000
304,見せて,304,10000
305,止めろ,305,10000
306,あそこだ,306,10000
307,これは何？,307,10000
308,なんですって？,308,10000
309,気にするな,309,10000
310,じゃ,310,377
311,ただいま,311,123
312,違います,312,276
313,どこにいるの？,313,10000
314,すまなかった,314,10000
315,これ,315,162
316,それから？,316,706
317,下がれ,317,10000
318,ないわ,318,10000
319,彼女は,319,10000
320,わからん,320,10000
321,進め！,321,10000
322,ありがとう,322,1
323,初めまして,323,219
324,私よ,324,10000
325,入れ,325,10000
326,了解しました,326,644
327,静かに！,327,337
328,おやすみなさい,328,526
329,じゃあな,329,810
330,何の話？,330,10000
331,これは,331,426
332,いい子だ,332,10000
333,日本語字幕：,333,10000
334,何してるんだ？,334,10000
335,どこへ行く？,335,10000
336,なんだと？,336,10000
337,やめてよ,337,1217
338,知らないわ,338,516
339,黙ってろ,339,10000
340,２,340,993
341,喜んで,341,10000
342,ハロー,342,10000
343,やったぞ！,343,1221
344,ごめんなさい。,344,865
345,それでは,345,1043
346,それは違う,346,342
347,さあね,347,10000
348,ウォルター,348,10000
349,とんでもない,349,10000
350,どこで？,350,10000
351,マイク,351,10000
352,どうなってるの？,352,10000
353,よせ,353,10000
354,本当よ,354,10000
355,何ですか？,355,614
356,私もだ,356,10000
357,ありがとう！,357,564
358,すごいな,358,435
359,いやだ,359,10000
360,つまり,360,672
361,分った,361,10000
362,そうなんだ,362,804
363,元気か？,363,1149
364,すまん,364,10000
365,愛してるよ,365,345
366,いない,366,10000
367,本当だ,367,10000
368,ほんとに？,368,1063
369,クリア,369,10000
370,あっ,370,8
371,だめ,371,10000
372,実は,372,10000
373,ありがとうございました,373,137
374,いらっしゃい,374,661
375,だろうな,375,10000
376,そうだった,376,10000
377,しまった,377,10000
378,逃げろ,378,10000
379,お前は？,379,357
380,こちらこそ,380,10000
381,行かなきゃ,381,10000
382,何が,382,10000
383,どうもありがとう,383,10000
384,開けろ,384,10000
385,どういう事？,385,10000
386,パパ,386,182
387,何の？,387,10000
388,悪かった,388,10000
389,見ろよ,389,10000
390,もういい！,390,903
391,ここよ,391,10000
392,うるさい,392,10000
393,まあな,393,10000
394,行くよ,394,10000
395,大統領,395,10000
396,見てみろ,396,974
397,そうよね,397,10000
398,いやよ,398,10000
399,あれは？,399,253
400,ウォーリー,400,10000
401,何て？,401,10000
402,申し訳ない,402,10000
403,畜生,403,10000
404,先生,404,233
405,まだ,405,10000
406,とにかく,406,10000
407,分かるか？,407,10000
408,終わりだ,408,10000
409,死んだ,409,10000
410,うるさい！,410,10000
411,フォース！,411,10000
412,信じられん,412,10000
413,何のこと？,413,1157
414,どこ行くの？,414,1083
415,ガ！,415,10000
416,それと,416,10000
417,誰か？,417,10000
418,気をつけろ！,418,10000
419,俺だ,419,10000
420,その通りです,420,10000
421,たぶんね,421,10000
422,今,422,665
423,本当ですか？,423,10000
424,行くんだ,424,10000
425,見つけた,425,10000
426,起きろ,426,1023
427,わかった？,427,10000
428,早くしろ！,428,567
429,続けろ,429,10000
430,誰だ,430,10000
431,何もない,431,720
432,ああ　そうだ,432,10000
433,立て,433,10000
434,♪メ！,434,10000
435,（笑い声）,435,220
436,だって,436,117
437,えーと,437,10000
438,何てこった,438,10000
439,ところで,439,10000
440,なぜだ,440,10000
441,お前は,441,10000
442,感謝します,442,10000
443,完璧だ,443,10000
444,ええと,444,10000
445,発射！,445,10000
446,何をした？,446,10000
447,やったぞ,447,10000
448,聞こえたか？,448,10000
449,バイ,449,10000
450,いいえ！,450,10000
451,チャーリー,451,10000
452,うん！,452,319
453,問題ない,453,10000
454,間違いない,454,10000
455,お前,455,1129
456,ありえない,456,10000
457,必要ない,457,10000
458,捕まえろ！,458,10000
459,あなたは,459,376
460,ううん,460,1089
461,当然だ,461,10000
462,何か問題でも？,462,10000
463,何があったんだ？,463,10000
464,ｏｋ,464,10000
465,ここに,465,10000
466,ここで何してるの？,466,611
467,ジョー,467,10000
468,えー,468,878
469,えっと,469,318
470,どうしました？,470,10000
471,いいな,471,10000
472,今すぐ！,472,10000
473,父さん？,473,10000
474,行きましょ,474,10000
475,すばらしい,475,10000
476,ふーん,476,609
477,調子はどう？,477,10000
478,お前は誰だ？,478,10000
479,何なの,479,10000
480,閣下,480,10000
481,どうぞ。,481,10000
482,確かか？,482,10000
483,私だ,483,10000
484,そうでしょ？,484,10000
485,どういう事だ？,485,10000
486,来いよ,486,737
487,いいとも,487,10000
488,ジム,488,10000
489,伏せろ,489,10000
490,逃げて！,490,10000
491,ここで何してる？,491,10000
492,今だ,492,10000
493,絶対に,493,10000
494,おかえり,494,1134
495,誰か！,495,10000
496,何が望みだ？,496,10000
497,ええ,497,3
498,ウソだろ,498,10000
499,すぐに,499,10000
500,了解です,500,10000
501,それだけだ,501,10000
502,まぁ,502,10000
503,ジョン？,503,10000
504,どこに行く？,504,1057
505,いくぞ,505,10000
506,エレン,506,10000
507,どうでもいい,507,10000
508,誰なんだ？,508,10000
509,行かないで,509,10000
510,来たぞ,510,10000
511,聞こえる？,511,10000
512,何をしている？,512,1143
513,知らなかった,513,10000
514,そして,514,216
515,あなたは誰？,515,10000
516,いいかい,516,10000
517,こんにちは。,517,719
518,どこに行くんだ？,518,1044
519,アレックス,519,10000
520,神様,520,989
521,どうしよう,521,10000
522,すごい！,522,1054
523,出て行け,523,778
524,ハリー,524,10000
525,よう,525,10000
526,僕もだ,526,10000
527,申し訳ありません,527,1028
528,頑張って,528,654
529,もう大丈夫だ,529,10000
530,違う,530,113
531,やめてくれ！,531,1218
532,行くんだ！,532,10000
533,バイバイ,533,176
534,動かないで,534,10000
535,さあ。,535,10000
536,分かった,536,80
537,ありがとうございます。,537,411
538,どうするんだ？,538,10000
539,は,539,56
540,調子は？,540,10000
541,大変だ,541,1192
542,いいですか？,542,1098
543,お父さん！,543,1127
544,そう,544,7
545,どうすればいい？,545,10000
546,お願いです,546,10000
547,しっかりしろ,547,10000
548,何をする？,548,422
549,信じてくれ,549,10000
550,殺せ,550,10000
551,それじゃあ,551,10000
552,はじめまして,552,707
553,ホードー,553,10000
554,ベン,554,10000
555,何のことだ？,555,10000
556,止めて,556,10000
557,そうしよう,557,10000
558,うーん。,558,10000
559,これを見て,559,10000
560,うむ,560,10000
561,だめよ,561,10000
562,どうだ,562,10000
563,もちろんさ,563,10000
564,そうだろ,564,10000
565,どこなの？,565,10000
566,嘘だ,566,10000
567,最高だ,567,10000
568,くそったれ！,568,10000
569,アア！,569,10000
570,違う？,570,10000
571,あり得ない,571,10000
572,ジェイク,572,10000
573,判った,573,10000
574,さあな,574,10000
575,信じられない！,575,10000
576,放せ！,576,10000
577,いらない,577,842
578,誰か,578,10000
579,こんにちは！,579,10000
580,おう,580,605
581,ハロー？,581,273
582,引け！,582,10000
583,準備は？,583,10000
584,準備はいいか？,584,10000
585,いや,585,14
586,良し,586,10000
587,はぁ？,587,10000
588,ふざけるな,588,1066
589,今すぐ,589,10000
590,時間だ,590,10000
591,ヘンリー,591,10000
592,ゆっくり,592,10000
593,冗談だろ,593,10000
594,そんなことない,594,796
595,例えば？,595,10000
596,聞いたか？,596,10000
597,覚えてる？,597,988
598,話がある,598,10000
599,何よ,599,10000
600,それだけ,600,10000
601,いいさ,601,10000
602,脱げ,602,11
603,この野郎,603,872
604,ここはどこだ？,604,10000
605,ここは？,605,10000
606,かわいそうに,606,1125
607,ニック！,607,10000
608,何なんだ,608,10000
609,クリス,609,10000
610,何かあったの？,610,10000
611,この野郎！,611,723
612,こちらです,612,1119
613,ワオ,613,10000
614,すぐ戻る,614,10000
615,いいだろ,615,10000
616,一緒に,616,10000
617,よく聞け,617,10000
618,断る,618,1173
619,何事だ？,619,1153
620,その通りよ,620,10000
621,落ち着けよ,621,985
622,以上だ,622,10000
623,やれやれ,623,10000
624,お母さん,624,303
625,オーケー。,625,10000
626,無理よ,626,10000
627,任せて,627,10000
628,ルーシー,628,10000
629,下がって,629,10000
630,あなたも,630,10000
631,まだよ,631,839
632,い,632,10
633,そうそう,633,263
634,すみません。,634,1053
635,どうかな？,635,10000
636,そこだ,636,10000
637,名前は,637,10000
638,ここで何を？,638,10000
639,ちょっと待ってくれ,639,10000
640,なぁ,640,10000
641,頼む！,641,10000
642,どうしてだ？,642,10000
643,そのまま,643,10000
644,どけ,644,10000
645,恥,645,10000
646,もちろん。,646,639
647,どこへ行くの？,647,10000
648,どうか,648,1033
649,終わった,649,10000
650,つまり？,650,10000
651,いいですよ,651,666
652,え？,652,65
653,こんにちは？,653,10000
654,マイケル,654,10000
655,それが？,655,10000
656,どうだい？,656,1032
657,殺してやる,657,10000
658,いい,658,10000
659,いい加減にしろ,659,10000
660,了解！,660,642
661,行け！,661,198
662,ボス,662,10000
663,ローガン,663,61
664,彼女は？,664,1181
665,わかるか？,665,428
666,あなたが？,666,10000
667,こんにちわ,667,10000
668,起きて,668,1026
669,どうかしたの？,669,10000
670,済まない,670,10000
671,くそったれ,671,10000
672,おそらく,672,10000
673,離れろ！,673,10000
674,いいかな？,674,10000
675,リック,675,10000
676,何の用だ？,676,746
677,そっか,677,262
678,もう少し,678,10000
679,的,679,4
680,いやいや,680,570
681,やるんだ,681,10000
682,残念だ,682,10000
683,いけ！,683,10000
684,だけど,684,10000
685,ありがとうございました。,685,634
686,ひどいな,686,1067
687,見えるか？,687,10000
688,頑張れ,688,10000
689,♪ゴーゴー・パワーレンジャー,689,10000
690,落ち着け！,690,10000
691,話して,691,10000
692,もう大丈夫,692,1141
693,クレア,693,241
694,どうすれば？,694,10000
695,そうかな？,695,436
696,承知しました,696,10000
697,どうなの？,697,10000
698,聞け,698,10000
699,冗談でしょ？,699,10000
700,お父さん,700,10000
701,知ってるよ,701,617
702,大丈夫だから,702,10000
703,そうかな,703,10000
704,シーッ,704,10000
705,どなた？,705,10000
706,進め,706,10000
707,マイク！,707,10000
708,いいから,708,10000
709,いいのか？,709,566
710,つかまれ！,710,10000
711,気分は？,711,10000
712,いいえ,712,24
713,待ってて,713,10000
714,見せてくれ,714,10000
715,かもな,715,10000
716,しまった！,716,1058
717,分かってます,717,10000
718,全然,718,689
719,そうする,719,10000
720,何してる,720,10000
721,悪くない,721,10000
722,だめ！,722,10000
723,まるで,723,10000
724,諸君,724,10000
725,あれは何だ？,725,10000
726,ここはどこ？,726,874
727,何してるの,727,10000
728,アレックス！,728,10000
729,何て言った？,729,10000
730,ドアを開けろ！,730,10000
731,何が起きた？,731,10000
732,来てくれ,732,10000
733,おい！,733,29
734,ここにいる,734,10000
735,ねえ。,735,10000
736,何をだ？,736,10000
737,だな,737,10000
738,悪いな,738,10000
739,俺,739,766
740,教えて,740,10000
741,でしょうね,741,10000
742,これ？,742,714
743,分かってるよ,743,10000
744,気の毒に,744,10000
745,それだけか？,745,10000
746,たぶん,746,544
747,発射,747,10000
748,行こう,748,269
749,マーク,749,10000
750,何だい？,750,1161
751,それとも,751,10000
752,ジェーン！,752,10000
753,痛い,753,10000
754,いいの,754,10000
755,将軍,755,10000
756,何ですって,756,10000
757,早くしろ,757,10000
758,始めよう,758,10000
759,かもね,759,10000
760,お帰り,760,881
761,お名前は？,761,10000
762,何が言いたい？,762,10000
763,（ため息）,763,10000
764,何だと,764,10000
765,ん,765,72
766,もし,766,10000
767,待ってろ,767,578
768,やっぱり,768,944
769,さてと,769,10000
770,面白い,770,10000
771,何やってる？,771,10000
772,彼は死んだ,772,10000
773,あの,773,201
774,最悪だ,774,10000
775,良いわ,775,10000
776,わかった。,776,10000
777,トム,777,10000
778,どこだ,778,10000
779,どういうことだ,779,10000
780,あんたは？,780,10000
781,そうかも,781,10000
782,見てくれ,782,10000
783,本当なの？,783,10000
784,ね,784,308
785,誰も,785,10000
786,それなら,786,10000
787,結構,787,10000
788,えっ？,788,395
789,場所は？,789,10000
790,へえ,790,817
791,立て！,791,10000
792,そう思う,792,10000
793,神よ,793,424
794,知りません,794,10000
795,気に入った,795,10000
796,そうじゃなくて,796,10000
797,分からないわ,797,10000
798,捕まえろ,798,574
799,え,799,12
800,何を言ってる？,800,1154
801,ソール,801,10000
802,嫌だ,802,10000
803,カール,803,10000
804,どこにある？,804,10000
805,カーター,805,475
806,触らないで,806,10000
807,やるぞ,807,10000
808,やあ！,808,10000
809,お願いだから,809,10000
810,やだ,810,10000
811,走れ,811,10000
812,どこへ行くんだ？,812,10000
813,クソっ,813,10000
814,そうね。,814,10000
815,そうだけど,815,10000
816,なんだよ,816,322
817,知ってるわ,817,10000
818,何をしたの？,818,10000
819,気に入った？,819,975
820,それが,820,10000
821,任せろ,821,10000
822,どうなってるんだ？,822,10000
823,こっちに来て,823,10000
824,準備はいい？,824,10000
825,今は,825,10000
826,またな,826,10000
827,死ね！,827,10000
828,ええ　もちろん,828,10000
829,そうなのか,829,10000
830,すぐ行く,830,10000
831,もう！,831,10000
832,状況は？,832,10000
833,おぉ,833,10000
834,関係ない,834,10000
835,分かるよ,835,732
836,キャロル,836,10000
837,美しい,837,10000
838,もうすぐだ,838,10000
839,何をしてるんだ？,839,10000
840,手を上げろ！,840,10000
841,イヴ,841,10000
842,君は誰だ？,842,10000
843,言っただろ,843,10000
844,クソ野郎,844,10000
845,結構です,845,624
846,ここにいろ,846,10000
847,どう,847,10000
848,何が見える？,848,10000
849,目を閉じて,849,10000
850,やめるんだ,850,10000
851,ジュリア,851,10000
852,よお,852,10000
853,誰,853,10000
854,ふむ,854,10000
855,タイラー,855,10000
856,気をつけて！,856,10000
857,平気よ,857,10000
858,♪レンジャー・フォーエバー,858,10000
859,あれ,859,237
860,ある,860,10000
861,どうする気だ？,861,10000
862,すみません,862,13
863,行くわ,863,10000
864,誕生日おめでとう,864,10000
865,あのね,865,10000
866,ベン！,866,10000
867,分かった！,867,10000
868,放て！,868,10000
869,それはない,869,10000
870,次,870,414
871,イエス,871,10000
872,ついて来い,872,10000
873,結構だ,873,10000
874,何を言ってるんだ？,874,10000
875,俺を見ろ,875,10000
876,異常なし,876,10000
877,わかってるわ,877,10000
878,ワオ！,878,10000
879,ああ？,879,857
880,バリー,880,10000
881,冗談だよ,881,10000
882,ハーイ,882,10000
883,オリビア,883,10000
884,誰か助けて！,884,990
885,そうだが,885,10000
886,どういう意味だ,886,10000
887,行きなさい,887,10000
888,何てこと！,888,10000
889,ここにいて,889,10000
890,そうだろうな,890,10000
891,はいはい,891,1070
892,う,892,196
893,わかってるよ,893,10000
894,わかる？,894,10000
895,はあ,895,59
896,なんてことだ！,896,10000
897,ライアン,897,10000
898,乾杯！,898,523
899,うーん？,899,10000
900,な,900,30
901,ハリー！,901,10000
902,マジか,902,10000
903,なぜです？,903,10000
904,なんだって,904,10000
905,何てことだ,905,10000
906,素晴らしいわ,906,10000
907,だ,907,1039
908,それはいい,908,10000
909,とても,909,10000
910,いつから？,910,10000
911,何をする気だ？,911,10000
912,聞こえますか？,912,10000
913,くたばれ,913,10000
914,気分はどう？,914,10000
915,お願いよ,915,10000
916,聞いてる？,916,10000
917,やろう,917,10000
918,戻れ,918,10000
919,なんで,919,10000
920,それ,920,1046
921,６,921,10000
922,私を見て,922,10000
923,やれよ,923,10000
924,やってみる,924,10000
925,あった,925,10000
926,何がだ？,926,10000
927,もう少しだ,927,10000
928,の,928,26
929,やるよ,929,10000
930,俺がやる,930,10000
931,知ってる？,931,10000
932,今のは？,932,10000
933,ひどい,933,10000
934,ああ　そうだな,934,10000
935,クリア！,935,133
936,見せろ,936,10000
937,分かったか,937,10000
938,本気？,938,10000
939,何があった,939,10000
940,おーい！,940,10000
941,やめろよ,941,10000
942,何に？,942,10000
943,はあ？,943,138
944,違う。,944,10000
945,フィンチ,945,10000
946,イヤ,946,10000
947,ウソでしょ,947,10000
948,了解。,948,10000
949,カーラ。,949,10000
950,やめとけ,950,949
951,そんなことはない,951,10000
952,何で,952,10000
953,チャーリー！,953,10000
954,お気の毒に,954,10000
955,だれ？,955,790
956,ハンク,956,10000
957,どうなんだ？,957,10000
958,ジャック？,958,10000
959,少し,959,10000
960,うん,960,2
961,その通り！,961,10000
962,どうしたんだ,962,10000
963,何故,963,10000
964,理由は？,964,10000
965,御免なさい,965,10000
966,メリークリスマス,966,10000
967,分らない,967,10000
968,大丈夫さ,968,10000
969,そうでもない,969,1049
970,マーフィー！,970,10000
971,永遠に,971,10000
972,ジェシー,972,10000
973,これを見てくれ,973,10000
974,俺も,974,10000
975,シー,975,10000
976,乗れ！,976,10000
977,トーマス,977,10000
978,マックス,978,10000
979,私じゃない,979,10000
980,なぜここに？,980,10000
981,そうですか？,981,805
982,どいて！,982,10000
983,冗談じゃない,983,10000
984,誰から？,984,10000
985,本気なの？,985,10000
986,と,986,122
987,分からない。,987,10000
988,何かあった？,988,10000
989,なんだよ？,989,1075
990,これを見ろ,990,10000
991,放せ,991,10000
992,来てくれてありがとう,992,10000
993,わかっている,993,10000
994,皆さん,994,10000
995,そのとおりだ,995,10000
996,久しぶりだな,996,787
997,なんなの？,997,1074
998,何を言ってるの？,998,10000
999,ジェーン？,999,10000
1000,ン,1000,15
1001,光栄です,1001,10000
1002,そうだろう,1002,1051
1003,来なさい,1003,10000
1004,何をするの？,1004,10000
1005,エリック,1005,10000
1006,無理だよ,1006,10000
1007,大丈夫だ。,1007,10000
1008,どこにいるんだ？,1008,10000
1009,わかりました。,1009,10000
1010,ジェイク！,1010,10000
1011,やめなさい,1011,10000
1012,私が,1012,10000
1013,乗って,1013,10000
1014,マギー,1014,10000
1015,楽しんで,1015,10000
1016,一体何だ？,1016,10000
1017,聞こえた？,1017,10000
1018,行くわよ！,1018,1013
1019,誰ですか？,1019,10000
1020,ないよ,1020,10000
1021,黙ってろ！,1021,10000
1022,ワォ,1022,10000
1023,ディーン,1023,10000
1024,何が起きたの？,1024,10000
1025,何が起こった？,1025,10000
1026,たぶんな,1026,10000
1027,ローラ,1027,10000
1028,それは・・・,1028,10000
1029,いくらだ？,1029,10000
1030,言ってみろ,1030,10000
1031,さあ行こう,1031,10000
1032,うわっ！,1032,438
1033,やったな,1033,10000
1034,違うんだ,1034,10000
1035,いくら？,1035,663
1036,知らないよ,1036,10000
1037,どうかしたか？,1037,10000
1038,許してくれ,1038,581
1039,誰を？,1039,10000
1040,そうとも,1040,10000
1041,彼は？,1041,10000
1042,聞いてるのか？,1042,10000
1043,なあに？,1043,1081
1044,感謝する,1044,10000
1045,今日は,1045,10000
1046,ふざけんな,1046,10000
1047,それはどうかな,1047,10000
1048,オリバー,1048,10000
1049,はっ？,1049,1068
1050,やってくれ,1050,10000
1051,乗れ,1051,10000
1052,まいったな,1052,10000
1053,いやよ！,1053,10000
1054,おーい,1054,613
1055,いいだろ？,1055,10000
1056,だろうね,1056,10000
1057,でも・・・,1057,546
1058,元気よ,1058,10000
1059,なんでもない,1059,10000
1060,ああ そうだ,1060,10000
1061,何でも,1061,10000
1062,驚いたな,1062,1004
1063,これでいい,1063,10000
1064,これが,1064,10000
1065,アリス,1065,10000
1066,ご用件は？,1066,10000
1067,この,1067,10000
1068,フィル！,1068,10000
1069,それがどうした？,1069,10000
1070,ここで,1070,10000
1071,俺が？,1071,10000
1072,それだ,1072,10000
1073,そうです。,1073,10000
1074,感謝するよ,1074,10000
1075,こっち,1075,10000
1076,見える？,1076,10000
1077,そうかい？,1077,10000
1078,素敵ね,1078,10000
1079,スコット,1079,1246
1080,本当,1080,1172
1081,一緒に来て,1081,10000
1082,どういう意味ですか？,1082,10000
1083,やってみろ,1083,10000
1084,ほらね,1084,10000
1085,こっちよ！,1085,10000
1086,何の用？,1086,10000
1087,何て事だ,1087,10000
1088,リサ,1088,10000
1089,良いぞ,1089,10000
1090,平気か？,1090,10000
1091,というと？,1091,10000
1092,彼女はどこだ？,1092,10000
1093,まずい,1093,10000
1094,ここ,1094,10000
1095,私はただ,1095,10000
1096,残念ながら,1096,10000
1097,無事か？,1097,10000
1098,無い,1098,10000
1099,いいよ。,1099,1096
1100,わかるよ,1100,10000
1101,触らないで！,1101,10000
1102,そう思う？,1102,10000
1103,来るぞ,1103,10000
1104,見せてみろ,1104,10000
1105,見つけたぞ,1105,10000
1106,そうは思わない,1106,10000
1107,やったぜ！,1107,10000
1108,全く,1108,10000
1109,連れて行け,1109,10000
1110,それは良かった,1110,10000
1111,ウーン,1111,10000
1112,警部,1112,10000
1113,マジで,1113,929
1114,イ,1114,21
1115,何かあったのか？,1115,10000
1116,あっちだ,1116,10000
1117,おぅ,1117,10000
1118,どうする,1118,10000
1119,今は違う,1119,513
1120,黙って,1120,10000
1121,出ろ,1121,711
1122,どこにいたの？,1122,10000
1123,チクショウ,1123,10000
1124,何について？,1124,10000
1125,クソッタレ！,1125,10000
1126,驚いた,1126,10000
1127,問題でも？,1127,10000
1128,た,1128,25
1129,信じて,1129,10000
1130,すまんな,1130,10000
1131,誰と？,1131,10000
1132,とまれ！,1132,10000
