,word,rankt,ranko
376,letzte,376,435
377,freunde,377,403
378,ende,378,342
379,glück,379,322
380,später,380,364
381,gab,381,422
382,minuten,382,394
383,bekommen,383,474
384,dr,384,418
385,eure,385,395
386,bald,386,316
387,eins,387,367
388,dad,388,1488
389,darauf,389,426
390,sterben,390,506
391,hi,391,691
392,weit,392,359
393,tür,393,329
394,dinge,394,646
395,meinst,395,446
396,bereit,396,598
397,vielen,397,447
398,seiner,398,385
399,jungs,399,490
400,runter,400,381
401,augen,401,369
402,toll,402,546
403,stehen,403,339
404,bisschen,404,295
405,auto,405,449
406,ahnung,406,472
407,draußen,407,484
408,polizei,408,410
409,kenne,409,459
410,hätten,410,442
411,fast,411,421
412,vorbei,412,413
413,dran,413,463
414,verrückt,414,467
415,wurden,415,461
416,hinter,416,512
417,art,417,651
418,treffen,418,584
419,ruhig,419,373
420,einzige,420,585
421,teufel,421,557
422,drin,422,468
423,arbeiten,423,469
424,gerne,424,402
425,name,425,416
426,je,426,552
427,he,427,327
428,neue,428,393
429,darum,429,592
430,sorgen,430,522
431,lang,431,401
432,sah,432,517
433,ganzen,433,436
434,braucht,434,448
435,jemanden,435,661
436,sogar,436,396
437,keiner,437,370
438,spät,438,432
439,hand,439,409
440,woher,440,452
441,liegt,441,414
442,ging,442,505
443,tochter,443,408
444,frauen,444,368
445,hört,445,479
446,idee,446,503
447,solltest,447,870
448,schwester,448,526
449,verstanden,449,498
450,verloren,450,477
451,kerl,451,673
452,suchen,452,485
453,kurz,453,406
454,seinem,454,482
455,ziemlich,455,719
456,job,456,759
457,spielen,457,375
458,große,458,437
459,finde,459,487
460,ruhe,460,333
461,verstehen,461,415
462,oben,462,353
463,tod,463,524
464,'s,464,357
465,überhaupt,465,362
466,mom,466,2469
467,grund,467,616
468,wasser,468,350
469,nimm,469,473
470,'n,470,188
471,kommst,471,346
472,jahr,472,441
473,mama,473,252
474,etwa,474,532
475,hoch,475,344
476,gewesen,476,520
477,fünf,477,510
478,letzten,478,496
479,stunden,479,523
480,hoffe,480,594
481,denkst,481,736
482,miss,482,602
483,versuchen,483,657
484,land,484,404
485,holen,485,486
486,schatz,486,653
487,anders,487,424
488,geschichte,488,508
489,bringt,489,483
490,schwer,490,493
491,endlich,491,352
492,mrs,492,867
493,wenig,493,531
494,lässt,494,499
495,erste,495,513
496,erzählt,496,560
497,gestern,497,444
498,gekommen,498,450
499,musste,499,540
500,nett,500,507
501,bedeutet,501,705
502,welche,502,529
503,versucht,503,764
504,alter,504,420
505,wahrheit,505,625
506,krieg,506,312
507,woche,507,572
508,wagen,508,471
509,deshalb,509,527
510,vier,510,456
511,zimmer,511,397
512,sagst,512,564
513,ah,513,254
514,gefallen,514,525
515,bestimmt,515,389
516,schau,516,423
517,getötet,517,948
518,niemals,518,645
519,seite,519,558
520,lasst,520,580
521,bleibt,521,392
522,verlassen,522,534
523,zeigen,523,530
524,spiel,524,516
525,denen,525,596
526,läuft,526,544
527,ort,527,773
528,wollten,528,515
529,schuld,529,618
530,unserer,530,501
531,spaß,531,589
532,glaubst,532,591
533,beste,533,638
534,würdest,534,780
535,guter,535,609
536,nehme,536,641
537,ernst,537,551
538,eben,538,345
539,während,539,722
540,john,540,1168
541,euer,541,541
542,manchmal,542,481
543,zwischen,543,595
544,the,544,349
545,chance,545,642
546,ersten,546,489
547,kleinen,547,518
548,gehst,548,581
549,jack,549,1125
550,tage,550,494
551,bett,551,440
552,wort,552,492
553,allen,553,553
554,erzählen,554,582
555,entschuldigen,555,504
556,anderes,556,545
557,freundin,557,637
558,unten,558,480
559,entschuldigung,559,451
560,gefällt,560,547
561,wichtig,561,573
562,äh,562,356
563,schlecht,563,466
564,typ,564,778
565,kleiner,565,559
566,sachen,566,550
567,wären,567,647
568,gesicht,568,630
569,schlafen,569,458
570,hättest,570,708
571,falls,571,734
572,dies,572,624
573,bloß,573,562
574,ding,574,620
575,mensch,575,332
576,blut,576,789
577,kriegen,577,574
578,stellen,578,619
579,sorge,579,726
580,neuen,580,568
581,trinken,581,464
582,beiden,582,536
583,bleib,583,511
584,schule,584,593
585,teil,585,795
586,oft,586,528
587,tust,587,857
588,unseren,588,565
589,herz,589,543
590,wen,590,617
591,alte,591,538
592,fest,592,495
593,captain,593,720
594,einige,594,752
595,frei,595,500
596,gedacht,596,588
597,tu,597,707
598,alt,598,539
599,waffe,599,912
600,drauf,600,566
601,scheint,601,702
602,wohin,602,509
603,ehrlich,603,767
604,wiedersehen,604,391
605,arsch,605,643
606,besten,606,571
607,platz,607,462
608,möglich,608,587
609,irgendwas,609,769
610,daß,610,351
611,glücklich,611,579
612,sondern,612,497
613,dollar,613,819
614,jungen,614,578
615,eltern,615,555
616,alten,616,603
617,kaum,617,633
618,brauchst,618,644
619,setzen,619,519
620,rede,620,693
621,nummer,621,666
622,irgendwie,622,698
623,gibt's,623,427
624,papa,624,296
625,falsch,625,753
626,außer,626,821
627,früher,627,542
628,zuerst,628,714
629,klingt,629,792
630,jede,630,649
631,telefon,631,563
632,früh,632,561
633,bring,633,606
634,willkommen,634,704
635,dürfen,635,533
636,kennst,636,622
637,hände,637,610
638,hierher,638,650
639,pass,639,470
640,wollt,640,476
641,großen,641,640
642,wahrscheinlich,642,731
643,retten,643,918
644,tue,644,1118
645,plan,645,822
646,wartet,646,652
647,sechs,647,724
648,könig,648,556
649,fehler,649,888
650,reicht,650,671
651,zehn,651,627
652,langsam,652,614
653,menge,653,987
654,gegeben,654,727
655,stunde,655,590
656,new,656,915
657,allem,657,677
658,nächste,658,678
659,film,659,656
660,scheiß,660,701
661,meines,661,747
662,gebe,662,742
663,nächsten,663,663
664,bereits,664,977
665,lieben,665,660
666,ruf,666,760
667,wochen,667,615
668,hölle,668,1280
669,schaffen,669,658
670,büro,670,897
671,voll,671,535
672,feuer,672,607
673,leider,673,428
674,überall,674,611
675,hund,675,586
676,trotzdem,676,655
677,spricht,677,521
678,hm,678,307
679,nennen,679,784
680,schiff,680,844
681,sam,681,1422
682,tat,682,904
683,geworden,683,567
684,direkt,684,852
685,luft,685,575
686,neues,686,710
687,wem,687,631
688,doktor,688,478
689,tja,689,712
690,denkt,690,843
691,seht,691,895
692,danach,692,840
693,wolltest,693,785
694,könnt,694,629
695,lernen,695,680
696,laufen,696,770
697,völlig,697,668
698,hattest,698,1098
699,stelle,699,675
700,kleines,700,748
701,ziehen,701,741
702,erinnern,702,874
703,kumpel,703,1315
704,funktioniert,704,1114
705,verlieren,705,854
706,hol,706,654
707,probleme,707,906
708,alleine,708,628
709,eigenen,709,866
710,kaffee,710,639
711,straße,711,703
712,deswegen,712,838
713,hab's,713,709
714,groß,714,686
715,wert,715,787
716,zwar,716,733
717,suche,717,858
718,buch,718,818
719,verstehst,719,697
720,verschwinden,720,1046
721,entschuldige,721,894
722,wow,722,1285
723,rufen,723,746
724,aufhören,724,992
725,richtige,725,763
726,lebt,726,684
727,unserem,727,695
728,könntest,728,1073
729,krank,729,689
730,jedes,730,830
731,fand,731,919
732,arzt,732,621
733,onkel,733,679
734,heiraten,734,599
735,spielt,735,605
736,fühle,736,1225
737,versuche,737,1284
738,vertrauen,738,991
739,gutes,739,841
740,leicht,740,762
741,wahl,741,1231
742,lasse,742,868
743,froh,743,771
744,gebracht,744,853
745,himmel,745,685
746,stück,746,662
747,halte,747,975
748,hält,748,751
749,zukunft,749,917
750,geschafft,750,902
751,irgendwo,751,798
752,möchten,752,756
753,tagen,753,669
754,typen,754,1399
755,drüben,755,717
756,kennt,756,676
757,kaufen,757,859
758,licht,758,713
759,großer,759,850
760,party,760,1319
761,damals,761,569
762,erklären,762,839
763,gefühl,763,791
764,genauso,764,828
765,schlüssel,765,768
766,erde,766,786
767,weniger,767,891
768,herren,768,433
769,sitzen,769,665
770,waffen,770,885
771,vergiss,771,952
772,interessiert,772,836
773,gegangen,773,837
774,stark,774,1083
775,genommen,775,923
776,getroffen,776,1074
777,total,777,740
778,nachricht,778,984
779,a,779,407
780,rest,780,1017
781,nachdem,781,1460
782,sagten,782,1029
783,super,783,672
784,millionen,784,901
785,cool,785,1270
786,passt,786,730
787,körper,787,1265
788,kümmern,788,1004
789,laut,789,577
790,frank,790,1283
791,solche,791,716
792,mist,792,998
793,passieren,793,1036
794,schreiben,794,613
795,eher,795,926
796,wovon,796,1221
797,kämpfen,797,1005
798,böse,798,766
799,gefragt,799,807
800,findet,800,816
801,sobald,801,1256
802,tragen,802,817
803,angerufen,803,1093
804,weh,804,826
805,nochmal,805,1294
806,bringe,806,879
807,gefängnis,807,1229
808,glaub,808,554
809,höre,809,963
810,i,810,366
811,heißen,811,765
812,worden,812,772
813,war's,813,808
814,vorstellen,814,687
815,hart,815,1094
816,stolz,816,848
817,vorsichtig,817,1007
818,sinn,818,958
819,verletzt,819,1354
820,still,820,737
821,boden,821,936
822,klasse,822,1008
823,gesprochen,823,955
824,ändern,824,1097
825,wohnung,825,711
826,schicken,826,916
827,leuten,827,1062
828,opfer,828,1222
829,solange,829,1023
830,mund,830,815
831,setz,831,696
832,fällt,832,612
833,hörst,833,831
834,boss,834,1461
835,stimme,835,877
836,erfahren,836,951
837,glaubt,837,803
838,erwartet,838,794
839,daddy,839,1985
840,umbringen,840,1178
841,wenigstens,841,729
842,besonders,842,820
843,schöne,843,570
844,sicherheit,844,1254
845,redest,845,1124
846,wisst,846,1099
847,länger,847,887
848,krankenhaus,848,1126
849,general,849,601
850,hasse,850,1244
851,stand,851,779
852,lacht,852,438
853,anrufen,853,1237
854,möchtest,854,1177
855,york,855,1169
856,außerdem,856,761
857,lachen,857,439
858,großartig,858,1104
859,zeug,859,1121
860,verzeihung,860,732
861,idiot,861,939
862,sollst,862,743
863,fliegen,863,690
864,wärst,864,1291
865,lesen,865,796
866,fühlen,866,1302
867,sex,867,1215
868,führen,868,1002
869,verdammte,869,1170
870,geschäft,870,1051
871,schneller,871,648
872,person,872,1287
873,charlie,873,1477
874,schätze,874,2416
875,laden,875,1109
876,gestorben,876,979
877,unglaublich,877,1058
878,mögen,878,1157
879,hinten,879,694
880,ähm,880,793
881,meinung,881,1020
882,geschehen,882,1030
883,acht,883,846
884,schauen,884,781
885,denk,885,889
886,umgebracht,886,1258
887,fallen,887,954
888,lustig,888,1034
889,schlimm,889,811
890,aufs,890,851
891,folgen,891,942
892,meisten,892,993
893,liebt,893,892
894,werdet,894,1146
895,liebling,895,1172
896,team,896,1698
897,vorher,897,871
898,tages,898,1042
899,erinnere,899,1528
900,mörder,900,959
901,verdient,901,1209
902,arschloch,902,907
903,unmöglich,903,968
904,monate,904,1064
905,versprochen,905,896
906,michael,906,1252
907,george,907,1908
908,kampf,908,1141
909,you,909,400
910,schluss,910,788
911,rufe,911,1119
912,nötig,912,1028
913,perfekt,913,1335
914,behalten,914,999
915,arbeitet,915,1184
916,arbeite,916,1241
917,heraus,917,1056
918,mike,918,2686
919,joe,919,1268
920,tisch,920,908
921,lebens,921,1161
922,gefährlich,922,924
923,bitten,923,757
924,jemals,924,1808
925,mord,925,1421
926,hotel,926,634
927,nähe,927,1163
928,hörte,928,1245
929,ärger,929,1092
930,sieben,930,941
931,liegen,931,823
932,tatsächlich,932,1273
933,hole,933,1024
934,jedem,934,935
935,antwort,935,1103
936,harry,936,927
937,plötzlich,937,750
938,machte,938,1135
939,meister,939,1230
940,seien,940,913
941,fort,941,805
942,bezahlt,942,1095
943,dumm,943,970
944,voller,944,1167
945,auge,945,1292
946,konnten,946,1065
947,tom,947,1112
948,verkaufen,948,1116
949,bezahlen,949,1123
950,anfangen,950,1133
951,gewinnen,951,1235
952,versuch,952,1334
953,zieh,953,835
954,fenster,954,855
955,bekommt,955,997
956,starb,956,1372
957,geschickt,957,1234
958,zeig,958,775
959,komisch,959,893
960,gerettet,960,1288
961,neu,961,1047
962,obwohl,962,986
963,ha,963,829
964,dagegen,964,972
965,ihres,965,1130
966,bewegung,966,1179
967,unterwegs,967,1101
968,traum,968,1014
969,bild,969,903
970,handy,970,949
971,augenblick,971,813
972,niemanden,972,1279
973,ziel,973,1027
974,hilft,974,1076
975,regeln,975,1367
976,nimmt,976,856
977,david,977,1032
978,verheiratet,978,1011
979,schreit,979,583
980,monaten,980,1182
981,gefahr,981,1194
982,fangen,982,1226
983,rum,983,849
984,leiche,984,1388
985,schlimmer,985,1154
986,worte,986,1165
987,klappe,987,1497
988,hilf,988,1148
989,kamen,989,964
990,findest,990,956
991,zahlen,991,933
992,legen,992,994
993,entscheidung,993,1590
994,anfang,994,976
995,gedanken,995,1010
996,fahr,996,777
997,absolut,997,1435
998,welcher,998,1050
999,sitzt,999,869
1000,zug,1000,608
1001,erinnerst,1001,1612
1002,bescheid,1002,1080
1003,arm,1003,1052
1004,ständig,1004,1208
1005,wozu,1005,974
1006,agent,1006,2887
1007,peter,1007,700
1008,offen,1008,1071
1009,sekunden,1009,1267
1010,finger,1010,981
1011,benutzt,1011,2316
1012,anwalt,1012,1712
1013,arme,1013,914
1014,wünschte,1014,2172
1015,führt,1015,1166
1016,wunderbar,1016,799
1017,paris,1017,597
1018,partner,1018,2113
1019,jemandem,1019,1881
1020,herum,1020,1054
1021,rolle,1021,996
1022,bier,1022,806
1023,monsieur,1023,745
1024,schönen,1024,754
1025,rüber,1025,928
1026,wach,1026,1193
1027,mary,1027,2062
1028,klein,1028,882
1029,ließ,1029,1149
1030,schießen,1030,876
1031,fürs,1031,1207
1032,dame,1032,670
1033,gewonnen,1033,1122
1034,monat,1034,1360
1035,müsst,1035,1019
1036,lady,1036,1510
1037,müsste,1037,880
1038,erledigt,1038,1403
1039,max,1039,847
1040,chef,1040,774
1041,kalt,1041,883
1042,gleiche,1042,1348
1043,tanzen,1043,800
1044,gottes,1044,861
1045,ehe,1045,1190
1046,lhr,1046,623
1047,steckt,1047,1159
1048,nennt,1048,1228
1049,jedenfalls,1049,1013
1050,reise,1050,801
1051,wär's,1051,1264
1052,aller,1052,966
1053,zuhause,1053,1530
1054,hältst,1054,1401
1055,darfst,1055,925
1056,süß,1056,1269
1057,wofür,1057,1278
1058,benutzen,1058,1859
1059,geschrieben,1059,930
1060,minute,1060,1507
1061,informationen,1061,1585
1062,ansehen,1062,1644
1063,hochzeit,1063,1096
1064,vorsicht,1064,797
1065,hoffentlich,1065,802
1066,ehre,1066,937
1067,seele,1067,1180
1068,raum,1068,1448
1069,irgendwann,1069,988
1070,heiß,1070,1195
1071,fühlt,1071,1552
1072,lauf,1072,1140
1073,nahm,1073,1397
1074,schlagen,1074,1238
1075,richtung,1075,1115
1076,gelernt,1076,1108
1077,holt,1077,1152
1078,müde,1078,995
1079,paul,1079,810
1080,tief,1080,1084
1081,werd,1081,890
1082,weile,1082,1938
1083,tolle,1083,1493
1084,and,1084,683
1085,sucht,1085,1243
1086,magst,1086,1181
1087,kontrolle,1087,1689
1088,brief,1088,728
1089,kriegt,1089,931
1090,damen,1090,755
1091,bisher,1091,1500
1092,foto,1092,1120
1093,unbedingt,1093,1016
1094,bekannt,1094,1188
1095,steh,1095,1137
1096,beispiel,1096,899
1097,wär,1097,682
1098,kraft,1098,1055
1099,herzen,1099,1057
1100,'nen,1100,809
1101,weitere,1101,1708
1102,dasselbe,1102,1330
1103,darin,1103,1344
1104,heiße,1104,946
1105,freut,1105,881
1106,weise,1106,1409
1107,dauert,1107,1009
1108,tasche,1108,1202
1109,dahin,1109,1139
1110,ben,1110,1691
1111,sowieso,1111,872
1112,irgendetwas,1112,1729
1113,links,1113,735
1114,leg,1114,1216
1115,hübsch,1115,989
1116,lage,1116,1277
1117,tschüss,1117,878
1118,alex,1118,910
1119,geschenk,1119,1257
1120,euren,1120,1260
1121,boot,1121,962
1122,rücken,1122,1246
1123,erzähl,1123,1147
1124,gelesen,1124,1196
1125,beweise,1125,1997
1126,hunger,1126,873
1127,fehlt,1127,905
1128,witz,1128,1336
1129,stell,1129,1102
1130,preis,1130,1259
1131,majestät,1131,537
1132,lügen,1132,1358
1133,unfall,1133,1316
1134,verschwinde,1134,1417
1135,gehabt,1135,827
1136,bar,1136,1652
1137,pferd,1137,744
1138,wütend,1138,1826
1139,befehl,1139,738
1140,gestohlen,1140,1479
1141,erwischt,1141,1304
1142,wunder,1142,1082
1143,neben,1143,1090
1144,öffnen,1144,1498
1145,geist,1145,1619
1146,fürchte,1146,1347
1147,wussten,1147,1369
1148,zumindest,1148,1854
1149,beschützen,1149,2765
1150,verbindung,1150,2063
1151,firma,1151,1303
1152,näher,1152,1276
1153,james,1153,1597
1154,ans,1154,1085
1155,verkauft,1155,1475
1156,normal,1156,1326
1157,geboren,1157,1198
1158,schrecklich,1158,1227
1159,beweisen,1159,1431
1160,redet,1160,1155
1161,präsident,1161,1608
1162,versteckt,1162,1263
1163,frieden,1163,1266
1164,zieht,1164,1144
1165,nächstes,1165,1570
1166,haut,1166,1012
1167,gold,1167,898
1168,gekauft,1168,1395
1169,reich,1169,921
1170,selber,1170,604
1171,gearbeitet,1171,1547
1172,wette,1172,1805
1173,süße,1173,1758
1174,jung,1174,960
1175,armee,1175,929
1176,letzter,1176,1495
1177,gesucht,1177,1384
1178,erwarten,1178,1299
1179,bank,1179,1100
1180,weiss,1180,1075
1181,verliebt,1181,980
1182,welches,1182,1563
1183,karte,1183,1370
1184,sonne,1184,842
1185,verschwunden,1185,1371
1186,großes,1186,1298
1187,liste,1187,1560
1188,fährt,1188,863
1189,schwöre,1189,1674
1190,verraten,1190,1214
1191,toten,1191,1339
1192,erreichen,1192,1297
1193,sie's,1193,1068
1194,vermisst,1194,1884
1195,kriege,1195,1342
1196,meinte,1196,1793
1197,zeiten,1197,1423
1198,stirbt,1198,1365
1199,punkt,1199,1327
1200,seltsam,1200,1669
1201,persönlich,1201,1212
1202,diesmal,1202,1211
1203,aussehen,1203,1848
1204,geburtstag,1204,824
1205,kirche,1205,967
1206,nase,1206,1040
1207,anruf,1207,1966
1208,fahre,1208,1086
1209,beziehung,1209,1878
1210,bleibe,1210,1219
1211,ruft,1211,1033
1212,vermutlich,1212,1792
1213,tante,1213,862
1214,sauer,1214,1898
1215,sekunde,1215,1788
1216,professor,1216,718
1217,kindern,1217,1087
1218,nachrichten,1218,1720
1219,eigene,1219,1414
1220,henry,1220,2157
1221,schade,1221,739
1222,flugzeug,1222,1079
1223,güte,1223,1883
1224,de,1224,971
1225,yeah,1225,3309
1226,regierung,1226,1428
1227,herrn,1227,548
1228,ewig,1228,1332
1229,bin's,1229,1350
1230,heim,1230,1043
1231,willen,1231,1110
1232,rechts,1232,812
1233,traurig,1233,1049
1234,fuß,1234,1174
1235,kriegst,1235,1113
1236,singen,1236,659
1237,nämlich,1237,725
1238,verändert,1238,1362
1239,geredet,1239,1875
1240,wein,1240,884
1241,madame,1241,783
1242,major,1242,758
1243,geheimnis,1243,1645
1244,schlaf,1244,938
1245,manche,1245,1446
1246,of,1246,1015
1247,letztes,1247,1656
1248,hoffnung,1248,1544
1249,bekam,1249,1576
1250,wunderschön,1250,1366
1251,kontakt,1251,1426
1252,fbi,1252,4679
1253,gegenüber,1253,1515
1254,ran,1254,1205
1255,bewegen,1255,1700
1256,lieb,1256,864
1257,gericht,1257,1323
1258,muß,1258,632
1259,weder,1259,1289
1260,deines,1260,1704
1261,erledigen,1261,2020
1262,gehören,1262,1142
1263,s,1263,1368
1264,richtigen,1264,1200
1265,to,1265,664
1266,zerstört,1266,2047
1267,lebe,1267,1078
1268,weihnachten,1268,1183
1269,entfernt,1269,1864
1270,zeigt,1270,1357
1271,beschäftigt,1271,2202
1272,offensichtlich,1272,2446
1273,namens,1273,1942
1274,antworten,1274,1571
1275,naja,1275,1910
1276,schlag,1276,1398
1277,computer,1277,2173
1278,geschlafen,1278,1318
1279,hau,1279,782
1280,volk,1280,1128
1281,show,1281,2148
1282,stecken,1282,1463
1283,drogen,1283,2710
1284,sagtest,1284,2456
1285,ermordet,1285,1872
1286,brachte,1286,1673
1287,colonel,1287,1382
1288,bleibst,1288,943
1289,jim,1289,1364
1290,schuldig,1290,1837
1291,gefühle,1291,1929
1292,blick,1292,1363
1293,witzig,1293,1834
1294,übrigens,1294,1025
1295,setzt,1295,985
1296,überraschung,1296,1077
1297,interessant,1297,1192
1298,königin,1298,1337
1299,besuch,1299,1003
1300,meint,1300,1070
1301,aufhalten,1301,2179
1302,liebst,1302,1324
1303,kaputt,1303,953
1304,achtung,1304,804
1305,geliebt,1305,1545
1306,schlechte,1306,1578
1307,entscheiden,1307,1491
1308,bill,1308,2490
1309,überleben,1309,1899
1310,gesellschaft,1310,1248
1311,sauber,1311,1666
1312,vaters,1312,1476
1313,anderer,1313,1418
1314,schicksal,1314,1631
1315,lust,1315,1022
1316,haare,1316,1295
1317,stellt,1317,1349
1318,soldaten,1318,875
1319,bob,1319,1901
